time,dP_pu
1797.690124,0.013899375526936543
1797.890381,0.014117990071173361
1798.090596,0.014267321396718493
1798.290842,0.0141956223777303
1798.491049,0.014192723124372636
1798.691285,0.014287393488812177
1798.891514,0.010177258689011688
1799.091742,0.006259224695566725
1799.291986,0.003573821671969199
1799.492197,0.0007968072233008993
1799.692436,-0.0018194048771893573
1799.892668,-0.0012673000163383487
1800.092889,0.0004240473330372404
1800.293113,0.00045842524071336763
1800.493357,0.000453735746020135
1800.693605,0.0005419966948761562
1800.893842,0.0005033336350670569
1801.094087,0.0006063677374646253
1801.294326,0.0007565634184827369
1801.49456,0.0009318796135604432
1801.69479,0.0009974988440522561
1801.895025,0.0009534386900695095
1802.09524,0.000942071683095206
1802.295473,0.0010741935446724096
1802.495714,0.0011593457438442614
1802.695932,0.0010609073755462439
1802.896156,0.001074142269347746
1803.096407,0.000705797917042658
1803.296653,0.000503135858814765
1803.496897,0.0027078869189910734
1803.697127,0.005454681156309205
1803.897382,0.008000713452430723
1804.097628,0.011085494119831812
1804.297869,0.01337277501257551
1804.498117,0.013282586111511964
1804.698347,0.013239576369180278
1804.898601,0.013186011235013317
1805.09885,0.013099426256769303
1805.29909,0.013496943338792042
1805.499339,0.013561586873105887
1805.699585,0.013490821065026656
1805.899824,0.013438101241212079
1806.100069,0.013212318406586652
1806.30032,0.013288528189136381
1806.500569,0.013389149421255988
1806.700819,0.01337899104693458
1806.90106,0.01334884115602967
1807.101295,0.013487391478310988
1807.301571,0.013502242277344178
1807.501801,0.013458609906070094
1807.702052,0.013593151962971638
1807.902297,0.013711933450079457
1808.102539,0.014002106372413937
1808.302788,0.014126843122229645
1808.503031,0.014255969039836952
1808.703261,0.014207629593758318
1808.903505,0.014229015799172788
1809.103737,0.014203325396504738
1809.303993,0.012372698150228255
1809.504234,0.007033873255533403
1809.704481,0.0044089414198309985
1809.904727,0.001857482729350311
1810.104957,-0.0008114682400750954
1810.305205,-0.0022268561871142366
1810.505451,0.0008914937028424802
1810.705707,0.001029170879595171
1810.905935,0.000933579024320873
1811.106187,0.0007016739159300606
1811.306436,0.00042157879240679283
1811.50668,0.0002980213750584535
1811.706928,0.0001710255809387914
1811.907176,9.71905784258519e-05
1812.107423,-4.52288333540079e-05
1812.307659,7.919586948585856e-05
1812.507896,0.00016077344602369821
1812.708149,0.00014644858532068166
1812.908379,0.00011433411697634721
1813.108629,0.00020577560097106922
1813.308876,0.00022394904104275945
1813.50912,-7.408966625981379e-07
1813.709369,-0.00011322284388260775
1813.909618,-0.0009254283816548305
1814.109869,-0.0010077413928493361
1814.310115,-0.000951899634267107
1814.510363,-0.0011035075842275135
1814.710605,-0.0009490970715216678
1814.910859,-0.00010892304165685842
1815.111102,-7.152428485314277e-05
1815.311335,-4.461792448581992e-05
1815.511588,1.569504240747202e-05
1815.711834,-2.8516007530731057e-05
1815.912085,-1.4409433209863604e-05
1816.112325,9.732535927925829e-05
1816.312572,-3.6181748811240617e-06
1816.512818,-9.680155490529418e-05
1816.713063,-0.0003492988336828534
1816.913306,-0.0005411960037489855
1817.113584,-0.0006811395498520038
1817.313814,-0.0007611173362601955
1817.514071,-0.0008919001793589288
1817.714315,-0.000863941942331271
1817.914538,-0.0007740680182621074
1818.114789,-0.000804270649500963
1818.315039,-0.001331703289130897
1818.515276,-0.0013893997494568407
1818.71553,-0.0013996152591400164
